District,rtla-12,rtla-14,rtla-16,rtla-18,rtla-20,rtla-trend,r-margin-12,r-margin-14,r-margin-16,r-margin-18,r-margin-20,Inflection
State House 46,97.89706745,89.14710116,83.38616617,80.40730585,71.04013162,-6.245366697,-0.226457226,-0.043659845,-1,-0.174897119,-0.101184829,70.96792602
State House 62,104.4486785,97.26517735,90.23771949,82.58437118,72.02603717,-7.952608876,-0.214374083,-0.181520055,-0.110204082,-0.135619243,-0.156298032,73.35208685
State House 41,79.32933448,74.26778455,83.0011359,83.91976186,82.78750383,1.656831601,-0.235357384,-0.076133517,-0.202804034,-0.288311181,-0.319300192,58.22297799
State House 1,85.43706597,82.45169367,85.65934863,84.90737202,81.17015228,-0.607814902,-0.285303629,-0.17398374,-0.220762889,-0.320495843,-0.327221439,57.3697757
State House 9,80.31697374,80.23306693,84.06906149,86.73162416,84.16987036,1.420435048,-0.279482948,-0.245701608,-0.317160642,-0.437610398,-0.427752344,48.94996052
State House 12,77.10669832,80.85007728,85.23469041,86.6333622,85.12801783,2.182592394,-0.339870213,-1,-0.301893831,-0.735413194,-0.472106269,37.29360451
State House 32,96.83788656,95.53202168,93.40458338,92.33862897,84.85646536,-2.715623512,-0.403659414,-0.274886661,-0.28770036,-1,-0.332380179,60.19207391
State House 13,85.7105576,86.71984164,89.78951315,90.91722923,84.11237309,0.100101858,-0.400175381,-0.353028562,-1,-0.462996309,-0.398440423,46.49898353
State House 6,98.36951256,98.10857512,96.5898793,97.3990508,93.10812371,-1.123230204,-0.362004397,-1,-1,-1,-0.466954336,54.29088148
State House 2,92.91244528,95.33021501,98.22291708,100.8607251,96.8396513,1.33849221,-0.46170739,-0.452115413,-0.465639104,-1,-0.61157289,46.05043722
State House 42,103.4864902,97.74974061,104.368389,102.8760081,96.85952959,-0.812765383,-0.466952866,-0.326566465,-0.378209517,-0.46691083,-1,61.15416501
State House 5,107.9964409,108.3505182,105.8305622,106.0134058,97.70843048,-2.291313333,-0.524376088,-0.522431404,-0.54624534,-0.61159986,-0.594638903,49.19403962
State House 4,123.0737705,123.993291,118.3839944,114.5875378,105.1269341,-4.529942597,-0.620441287,-0.561190646,-0.53800189,-0.654501801,-0.636980452,56.81078406
State House 7,142.0148806,142.8503195,128.9969998,125.866069,111.9350535,-7.714390469,-0.662586482,-0.592043646,-1,-0.672615762,-1,72.66889335
State House 8,137.2324376,141.1228691,136.9328528,132.3501673,122.954985,-3.732760694,-0.698393166,-0.713690389,-0.696280302,-1,-1,68.15059129
State House 10,102.1355922,110.3858859,117.0281372,115.9185099,111.0808318,2.342310306,-0.602798605,-1,-1,-0.736365158,-0.707273597,41.49706596
